Date time,Amount
2019-Jul-22,0.2
2019-Jul-23,0.8
2019-Jul-24,5
2019-Jul-25,1.6
2019-Jul-26,0
2019-Jul-27,0.2
2019-Jul-28,0
2019-Jul-29,1
2019-Jul-30,2
2019-Jul-31,4
2019-Aug-1,0
2019-Aug-2,22
2019-Aug-3,18
2019-Aug-4,27
2019-Aug-5,12
2019-Aug-6,2
2019-Aug-7,2
2019-Aug-8,0.6
2019-Aug-9,0
2019-Aug-10,0
2019-Aug-11,0
2019-Aug-12,0
2019-Aug-13,0
2019-Aug-14,0
2019-Aug-15,0
2019-Aug-16,0.6
2019-Aug-17,4
2019-Aug-18,0
2019-Aug-19,0
2019-Aug-20,0
2019-Aug-21,0
2019-Aug-22,0
2019-Aug-23,0
2019-Aug-24,0
2019-Aug-25,0.4
2019-Aug-26,0
2019-Aug-27,0
2019-Aug-28,0
2019-Aug-29,0
2019-Aug-30,0
2019-Aug-31,0
2019-Sep-1,0
2019-Sep-2,0
2019-Sep-3,0
2019-Sep-4,0
2019-Sep-5,0
2019-Sep-6,0
2019-Sep-7,0
2019-Sep-8,0
2019-Sep-9,0
2019-Sep-10,0
2019-Sep-11,0
2019-Sep-12,3
2019-Sep-13,0
2019-Sep-14,0
2019-Sep-15,0
2019-Sep-16,0
2019-Sep-17,0
2019-Sep-18,0
2019-Sep-19,0
2019-Sep-20,0
2019-Sep-21,8
2019-Sep-22,1
2019-Sep-23,1
2019-Sep-24,0
2019-Sep-25,0.2
2019-Sep-26,2
2019-Sep-27,0
2019-Sep-28,0
2019-Sep-29,0
2019-Sep-30,0
2019-Oct-1,0
2019-Oct-2,0
2019-Oct-3,17
2019-Oct-4,24
2019-Oct-5,2
2019-Oct-6,0.8
2019-Oct-7,0
2019-Oct-8,0
2019-Oct-9,0
2019-Oct-10,0
2019-Oct-11,0
2019-Oct-12,0
2019-Oct-13,0
2019-Oct-14,0
2019-Oct-15,0
2019-Oct-16,0
2019-Oct-17,0
2019-Oct-18,0
2019-Oct-19,0
2019-Oct-20,0
2019-Oct-21,0
2019-Oct-22,33
2019-Oct-23,24
2019-Oct-24,4
2019-Oct-25,15
2019-Oct-26,0
2019-Oct-27,0
2019-Oct-28,0
2019-Oct-29,7
2019-Oct-30,0.4
2019-Oct-31,1.2
2019-Nov-1,2
2019-Nov-2,1.2
2019-Nov-3,3
2019-Nov-4,0
2019-Nov-5,0
2019-Nov-6,0
2019-Nov-7,0
2019-Nov-8,0
2019-Nov-9,0
2019-Nov-10,0
2019-Nov-11,0
2019-Nov-12,0
2019-Nov-13,0
2019-Nov-14,0
2019-Nov-15,0
2019-Nov-16,0
